window,name,mape,rmse
20,decision tree: pagerank + emb,294615660.5284921,210.30861508870805
20,decision tree: history,572237903.7014925,397.68328941464284
20,decision tree: pagerank,296890794.80845636,242.83222764733742
20,decision tree: emb,292526544.69438356,272.46280871840275
20,decision tree: baseline,357398623.0045837,302.5025621119254
21,persistence,670065309.5390986,248.15845740542443
21,mean,811122213.0460238,218.00140539417868
21,linear regression: history + pagerank + emb,3269690036.535145,712.9380899982308
21,linear regression: history + pagerank,3252506489.783261,708.0851333063922
21,linear regression: history + emb,3248281214.069798,707.129009457581
21,linear regression: pagerank + emb,1286048798.6739368,231.87585306214035
21,linear regression: history,3248281214.069798,707.129009457581
21,linear regression: pagerank,1281322254.354227,231.87941344859095
21,linear regression: emb,1277575219.884176,230.26272138391766
21,linear regression: baseline,1272881006.0879922,230.26400900601274
21,poisson regression emb,54393390.973026,787.2197370550322
21,poisson regression pagerank + emb,100.0,787.5462054137445
21,decision tree: history + pagerank + emb,1112876630.037715,281.2942834579922
21,decision tree: history + pagerank,1041413690.3374964,263.1143512693766
21,decision tree: history + emb,1008969994.3887577,260.7418918078663
21,decision tree: pagerank + emb,676343236.6950479,229.43125868850498
21,decision tree: history,984301938.9451543,232.90459827368264
21,decision tree: pagerank,667796915.3271381,217.91617239360244
21,decision tree: emb,651338462.6198301,221.5419374144869
21,decision tree: baseline,775351070.5775448,356.4976242889032
22,persistence,313185937.10023147,340.59402662343496
22,mean,637461344.6746254,364.0097030652737
22,linear regression: history + pagerank + emb,2972321746.15067,714.4134328449362
22,linear regression: history + pagerank,2971286150.1562676,712.3929291028898
22,linear regression: history + emb,2974685582.335069,713.134996528888
22,linear regression: pagerank + emb,803427912.3437843,345.5841179209359
22,linear regression: history,2974685582.335069,713.134996528888
22,linear regression: pagerank,804813673.643488,345.56299768851824
22,linear regression: emb,782040435.1772947,345.650672263698
22,linear regression: baseline,783246333.4300215,345.63009376654264
22,poisson regression emb,54908912.93558617,853.7697421337058
22,poisson regression pagerank + emb,100.0,854.0750381611348
22,decision tree: history + pagerank + emb,531315165.1205056,450.94914846716443
22,decision tree: history + pagerank,546301608.5671816,451.08600743277907
22,decision tree: history + emb,583626425.5232382,365.8670786413113
